Family,Genus,Subgenus,Species,1996,1997,1998,1999,2002,2011,2012,Prop. years present,New/ Absent in 2011-12,Num_years
Megachilidae,Coelioxys,(Boreocoelioxys),octodentata, ,R,R,S, ,S, ,0.57, ,4
Megachilidae,,(Coelioxys),hirsutissima, , , , , ,R, ,0.14,N,1
Megachilidae,,,serricaudata,S,R,R,R,S,R,R,1, ,7
Megachilidae,,(Cyrtocoelioxys),gilensis, ,S, , , , , ,0.14,A,1
Megachilidae,,,gonaspis, ,R, , , , , ,0.14,A,1
Megachilidae,Dianthidium,(Dianthidium),dubium ssp. dilectum, ,C,C,R,R,R,C,0.86, ,6
Megachilidae,,,parvum ssp. schwarzi, , , , ,R,R,R,0.43, ,3
Megachilidae,,,pudicum ssp. consimile,S,S,S,R,R,R,C,1, ,7
Megachilidae,,,singulare, ,S, , , , , ,0.14,A,1
Megachilidae,,,ulkei ssp. ulkei, ,R,S, ,S, ,R,0.57, ,4
Megachilidae,Dioxys,,aurifusca, ,S, , , , , ,0.14,A,1
Megachilidae,,,pacifica ssp. pacifica, , ,S, ,S, ,R,0.43, ,3
Megachilidae,,,pomonae ssp. pomonae,R,R,R,R, ,C,R,0.86, ,6
Megachilidae,,,producta ssp. cismontanica,R,R,R,R, ,R,S,0.86, ,6
Megachilidae,Heriades,(Neotrypetes),occidentalis, ,C,C, , , , ,0.29,A,2
Megachilidae,Hoplitis,(Acrosmia),aff. emarginata, ,C,R,R, ,S, ,0.57, ,4
Megachilidae,,(Alcidamea),colei,R,C,R,C,R,C,C,1, ,7
Megachilidae,,,grinnelli,R,C,R,R, , ,R,0.71, ,5
Megachilidae,,,producta ssp. bernardina, ,C, , , ,C,S,0.43, ,3
Megachilidae,,,producta ssp. gracilis,C,C,C,C,R,C,R,1, ,7
Megachilidae,,,sambuci,S,C,R,S, , ,S,0.71, ,5
Megachilidae,,(Cyrtosmia),hypocrita,S,C,C,R, ,R,R,0.86, ,6
